MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
0.5408052230685527	True	0.00073665841428866442	MLL2loss	ATF1loss	0.013057671381936888	714	217	[217, 714]	0	12	919	6.1	497	MutuallyExclusive	frozenset(['MLL2loss', 'ATF1loss'])
0.0697211155378486	True	0.022988223572064127	MLL3loss	SDHCloss	0.0099601593625498	271	236	[236, 271]	0	5	502	4.3	35	MutuallyExclusive	frozenset(['MLL3loss', 'SDHCloss'])
0.7008196721311475	True	0.0043100223131287306	MLL3loss	ZNF331loss	0.023224043715846996	1262	236	[236, 1262]	0	34	1464	5.5	1026	MutuallyExclusive	frozenset(['MLL3loss', 'ZNF331loss'])
0.45700824499411075	True	0.00071244343307101275	TBL1XR1loss	MLL3loss	0.012956419316843345	236	624	[624, 236]	0	11	849	6.1	388	MutuallyExclusive	frozenset(['TBL1XR1loss', 'MLL3loss'])
0.8376660889659157	True	0.0089949805230145272	SDHBloss	HLA-Aloss	0.016753321779318313	155	1605	[1605, 155]	0	29	1731	5.3	1450	MutuallyExclusive	frozenset(['SDHBloss', 'HLA-Aloss'])
0.7901687454145268	True	0.043232288465497093	WT1loss	HLA-Aloss	0.01760821716801174	155	1232	[1232, 155]	0	24	1363	4.5	1077	MutuallyExclusive	frozenset(['WT1loss', 'HLA-Aloss'])
0.7632170978627671	True	0.033790405095669045	MLL3loss	MYBloss	0.028683914510686165	1593	236	[236, 1593]	0	51	1778	4.7	1357	MutuallyExclusive	frozenset(['MLL3loss', 'MYBloss'])
0.3364963503649635	True	5.5237183889661954e-05	FANCAloss	NOTCH2loss	0.10510948905109489	1053	1975	[1975, 1053]	0	288	2740	7.7	922	MutuallyExclusive	frozenset(['FANCAloss', 'NOTCH2loss'])
0.7198192382182053	True	0.0066850105466701067	MLL3loss	PICALMloss	0.024531956100710135	1351	236	[236, 1351]	0	38	1549	5.4	1115	MutuallyExclusive	frozenset(['MLL3loss', 'PICALMloss'])
0.6506849315068494	True	0.030202169180212492	MLL2loss	SDHAF2loss	0.02226027397260274	977	217	[217, 977]	0	26	1168	4.6	760	MutuallyExclusive	frozenset(['MLL2loss', 'SDHAF2loss'])
0.7809722948248824	True	0.01267297368152975	FOXO3loss	MLL3loss	0.02770517511761631	236	1730	[1730, 236]	0	53	1913	5.2	1494	MutuallyExclusive	frozenset(['FOXO3loss', 'MLL3loss'])
0.42857142857142855	True	0.01664313136505112	HERPUD1loss	BCL9loss	0.08137992038920831	738	1707	[1707, 738]	0	184	2261	5.1	969	MutuallyExclusive	frozenset(['HERPUD1loss', 'BCL9loss'])
0.7777188328912467	True	0.018036180275530792	MLL3loss	GOPCloss	0.028116710875331564	1702	236	[236, 1702]	0	53	1885	5.0	1466	MutuallyExclusive	frozenset(['MLL3loss', 'GOPCloss'])
0.5299435028248588	True	0.049918371614734128	MLL2loss	SRSF2loss	0.020338983050847456	686	217	[217, 686]	0	18	885	4.2	469	MutuallyExclusive	frozenset(['MLL2loss', 'SRSF2loss'])
0.7734627831715211	True	0.01901670226975569	MLL3loss	NUTM2Bloss	0.028047464940668825	1670	236	[236, 1670]	0	52	1854	5.0	1434	MutuallyExclusive	frozenset(['MLL3loss', 'NUTM2Bloss'])
0.4325621999127019	True	0.0013646699296603647	BCL9loss	CBFBloss	0.07682234831951112	1729	738	[738, 1729]	0	176	2291	6.2	991	MutuallyExclusive	frozenset(['BCL9loss', 'CBFBloss'])
0.7365591397849462	True	0.014812796151650948	SDHAF2loss	HLA-Aloss	0.014336917562724014	155	977	[977, 155]	0	16	1116	4.9	822	MutuallyExclusive	frozenset(['SDHAF2loss', 'HLA-Aloss'])
0.7759914255091104	True	0.030703870856938615	MLL3loss	PRF1loss	0.028938906752411574	1684	236	[236, 1684]	0	54	1866	4.8	1448	MutuallyExclusive	frozenset(['MLL3loss', 'PRF1loss'])
0.783686112545173	True	0.0092242819775097528	MLL3loss	PRDM1loss	0.027361899845121322	1754	236	[236, 1754]	0	53	1937	5.3	1518	MutuallyExclusive	frozenset(['MLL3loss', 'PRDM1loss'])
0.5408052230685527	True	0.00073665841428866442	MLL2loss	SMARCD1loss	0.013057671381936888	714	217	[217, 714]	0	12	919	6.1	497	MutuallyExclusive	frozenset(['MLL2loss', 'SMARCD1loss'])
0.8006944444444445	True	0.01276259164670885	HLA-Aloss	IDH1loss	0.01597222222222222	1308	155	[155, 1308]	0	23	1440	5.1	1153	MutuallyExclusive	frozenset(['IDH1loss', 'HLA-Aloss'])
0.768595041322314	True	0.030053377141933377	MLL3loss	CCDC6loss	0.02865013774104683	1631	236	[236, 1631]	0	52	1815	4.8	1395	MutuallyExclusive	frozenset(['MLL3loss', 'CCDC6loss'])
0.6292947558770343	True	0.030626382948719815	MLL2loss	CEBPAloss	0.0216998191681736	913	217	[217, 913]	0	24	1106	4.6	696	MutuallyExclusive	frozenset(['MLL2loss', 'CEBPAloss'])
0.5702005730659025	True	0.013999608817577456	MLL3loss	ETV6loss	0.021012416427889206	833	236	[236, 833]	0	22	1047	4.9	597	MutuallyExclusive	frozenset(['MLL3loss', 'ETV6loss'])
0.29523809523809524	True	4.3125285752166107e-06	CDH1loss	NOTCH2loss	0.09752380952380953	1053	1828	[1828, 1053]	0	256	2625	8.8	775	MutuallyExclusive	frozenset(['CDH1loss', 'NOTCH2loss'])
0.8508108108108108	True	0.023011058629467139	CBFBloss	HLA-Aloss	0.018378378378378378	155	1729	[1729, 155]	0	34	1850	4.9	1574	MutuallyExclusive	frozenset(['CBFBloss', 'HLA-Aloss'])
0.44149577804583834	True	0.00018667493621940886	MLL3loss	SOX2loss	0.010856453558504222	602	236	[236, 602]	0	9	829	6.6	366	MutuallyExclusive	frozenset(['MLL3loss', 'SOX2loss'])
0.7829046898638427	True	0.042745639295824457	HLA-Aloss	LMO2loss	0.01739788199697428	1190	155	[155, 1190]	0	23	1322	4.5	1035	MutuallyExclusive	frozenset(['LMO2loss', 'HLA-Aloss'])
0.6638526477359938	True	0.042376735918223891	MLL3loss	AKT2loss	0.026093630084420567	1101	236	[236, 1101]	0	34	1303	4.5	865	MutuallyExclusive	frozenset(['MLL3loss', 'AKT2loss'])
0.8858011289622232	True	0.043770906116490538	LHFPloss	HLA-Aloss	0.02040816326530612	155	2195	[2195, 155]	0	47	2303	4.7	2040	MutuallyExclusive	frozenset(['HLA-Aloss', 'LHFPloss'])
0.6101036269430051	True	0.018832372027304124	PAX8loss	HLA-Aloss	0.011658031088082901	155	626	[626, 155]	0	9	772	4.6	471	MutuallyExclusive	frozenset(['PAX8loss', 'HLA-Aloss'])
0.8373563218390805	True	0.0028626336059103244	HLA-Aloss	TNFRSF14loss	0.015517241379310345	1612	155	[155, 1612]	0	27	1740	5.8	1457	MutuallyExclusive	frozenset(['TNFRSF14loss', 'HLA-Aloss'])
0.8396062536189924	True	0.047124388482113921	MDS2loss	HLA-Aloss	0.01910828025477707	155	1605	[1605, 155]	0	33	1727	4.6	1450	MutuallyExclusive	frozenset(['MDS2loss', 'HLA-Aloss'])
0.3720274083031036	True	0.044232480954931624	CDH1loss	PDE4DIPloss	0.10157194679564692	905	1828	[1828, 905]	0	252	2481	4.7	923	MutuallyExclusive	frozenset(['CDH1loss', 'PDE4DIPloss'])
