Gene	Entries
MYCNOS,MYCN(A)	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)', 'EGFR(A)'])
SDK1	set(['EGFR(A)'])
MAP1B	set(['CDKN2A(D)', 'EGFR(A)'])
PLCB3	set(['PTEN', 'CDK4(A)'])
LINC00290(D)	set(['LRP2', 'COL6A3', 'NF1'])
MC3R	set(['CDK4(A)'])
DSP	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'PTEN(D)', 'PDGFRA(A)'])
C15orf2	set(['CDKN2A(D)'])
HERC1	set(['PDGFRA(A)'])
TRRAP	set(['PTEN', 'RB1(D)', 'MDM4(A)', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
KPRP	set(['PDGFRA(A)'])
PTPN3	set(['CDKN2A(D)', 'MDM4(A)'])
HMCN1	set(['PTEN', 'TP53(D)', 'TP53'])
PCDHA13	set(['EGFR(A)'])
C21orf58	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
SPAM1	set(['PTEN', 'PDGFRA(A)'])
XIRP2	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
ITGAX	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)', 'CDK4(A)'])
ABCA13	set(['CDKN2A(D)'])
TP53	set(['KRTAP5-5', 'RPL5,FAM69A,SNORA66(D)', 'MDM2(A)', 'PTEN(D)', 'MDM4(A)', 'CDKN2A(D)', 'SARDH', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'HMCN1', 'EGFR(A)'])
LRBA	set(['CDKN2A(D)'])
COL22A1	set(['RB1(D)', 'CDK4(A)'])
OTOF	set(['RB1(D)'])
PDE6B	set(['PTEN', 'CDKN2A(D)', 'PDGFRA(A)'])
