Gene0	Gene1	Weight	cometProbability	mutexProbability	Frequency	MinProbability
MYST4loss	NRASloss	3.00568442848	0.0495048601944	NA	1	0.0495048601944
MLL2loss	MLF1loss	NA	NA	0.04435129985580285	1	0.04435129985580285
MLL3loss	BMPR1Aloss	3.0942876817	0.045307274169	0.026205886826768346	2	0.026205886826768346
KLF6loss	MLL3loss	4.1729116928	0.0154073333276	0.009287463672869187	2	0.009287463672869187
HOXC11loss	CYTSBloss	3.38314156952	0.0339406601278	NA	1	0.0339406601278
NACAloss	CYTSBloss	3.60750874218	0.027119324008	NA	1	0.027119324008
MLL3loss	ZRSR2loss	4.75693123409	0.00859193562144	0.005325253293302747	2	0.005325253293302747
FAM22Bloss	TET1loss	3.03044279118	0.0482942491235	NA	1	0.0482942491235
CBLBloss	MLL3loss	6.60083546724	0.00135923196926	0.0009266993404189131	2	0.0009266993404189131
MLL3loss	BCL6loss	5.03706229346	0.00649279425307	0.004308769184513568	2	0.004308769184513568
MLL3loss	GOPCloss	3.48216943762	0.0307406487208	0.01803618027553079	2	0.01803618027553079
MLL3loss	KMT2Aloss	5.5891711691	0.00373812485444	0.0022898766933528983	2	0.0022898766933528983
MYST4loss	PSIP1loss	3.00809383722	0.0493857263306	NA	1	0.0493857263306
JUNloss	P2RY8loss	3.0694495652	0.04644671371	NA	1	0.04644671371
MLL3loss	SOX2loss	8.29822356103	0.000248958694443	0.00018667493621940886	2	0.00018667493621940886
TAL2loss	CYTSBloss	4.17931524429	0.0153089868947	NA	1	0.0153089868947
MLL2loss	NACAloss	4.1673729231	0.0154929077683	0.010007760100857039	2	0.010007760100857039
MALAT1loss	MYST4loss	3.09219392073	0.0454022361505	NA	1	0.0454022361505
TFE3loss	CYTSBloss	5.40966317262	0.00447314663592	NA	1	0.00447314663592
BCL2loss	CYTSBloss	3.50453734505	0.0300606778488	NA	1	0.0300606778488
SSX2loss	MLLloss	4.20170306589	0.0149700600996	NA	1	0.0149700600996
MLL3loss	SSX4loss	4.09748613466	0.0166143892856	0.01018654186927188	2	0.01018654186927188
MKL1loss	CYTSBloss	5.99161890196	0.00249961414266	NA	1	0.00249961414266
CEP110loss	POU2AF1loss	3.43086445726	0.0323589557445	NA	1	0.0323589557445
MYST4loss	STAT3loss	4.0883738559	0.0167664761085	NA	1	0.0167664761085
MLL3loss	XPCloss	3.64173396275	0.0262068628217	0.015510533181252796	2	0.015510533181252796
CBFBloss	NOTCH2loss	9.81293242836	5.47390927461e-05	3.169568362665889e-05	2	3.169568362665889e-05
WASloss	MYST4loss	4.58376269914	0.0102163827099	NA	1	0.0102163827099
MLL3loss	CCND2loss	NA	NA	0.04431210266836078	1	0.04431210266836078
MLL3loss	MTCP1loss	4.11135145362	0.0163856151571	0.010171962168527018	2	0.010171962168527018
NF2loss	CYTSBloss	5.37171137928	0.00464617313808	NA	1	0.00464617313808
KMT2Aloss	MLLloss	3.01945306707	0.0488279166556	NA	1	0.0488279166556
MLL2loss	HMGA2loss	3.00906628532	0.049337724618	0.031061530786554353	2	0.031061530786554353
PDCD1LG2loss	MYST4loss	4.45490012645	0.0116214804952	NA	1	0.0116214804952
MLL2loss	NAB2loss	NA	NA	0.046729251161386834	1	0.046729251161386834
CEP110loss	PAX5loss	3.07133410639	0.0463592653911	NA	1	0.0463592653911
CDH1loss	BCL9loss	5.58863935112	0.0037401133852	0.002114505672635709	2	0.002114505672635709
