Gene0	Gene1	Probability	Weight
MLL3loss	GATA2loss	2.40573692679e-06	12.9376542869
MLL3loss	CCNE1loss	0.0455323568341	3.08933206655
H3F3Bloss	MYST4loss	0.00788871976706	4.84232141749
PAX5loss	CYTSBloss	0.0221609614011	3.80942303352
MLL3loss	CEBPAloss	0.0412580314585	3.18790948313
FEVloss	HLA-Aloss	0.0327973459353	3.41740768347
CDH1loss	NOTCH2loss	7.35772990086e-06	11.8197591102
MLL3loss	TFRCloss	0.000500516397156	7.5998701982
MYST4loss	TCL1Aloss	0.0201542652094	3.90433934007
CEP110loss	NUTM2Bloss	0.048706363233	3.02194559556
BCL10loss	CYTSBloss	0.0119765809101	4.42480212685
PAX8loss	HLA-Aloss	0.0279017209114	3.57906691064
SDHAF2loss	HLA-Aloss	0.0229897416674	3.77270717701
MKL1loss	CYTSBloss	0.00249961414266	5.99161890196
CEP110loss	NFKBIEloss	0.00965672676705	4.64010053217
JUNloss	P2RY8loss	0.04644671371	3.0694495652
MLL2loss	ATF1loss	0.00103725238727	6.87117999722
CEP110loss	LMO2loss	0.0377044088115	3.27797824676
CEP110loss	DDX6loss	0.00232192529774	6.06535856774
MLL2loss	SS18loss	0.0382494414185	3.26362632225
MLL3loss	NUTM2Bloss	0.0324247155133	3.4288343225
CEP110loss	CREB3L1loss	0.0110453519351	4.50574557887
SDHDloss	MYST4loss	0.00500382131712	5.29755339503
RUNDC2Aloss	KMT2Aloss	0.0483989480456	3.02827720009
NUTM1loss	MYST4loss	0.00461919094204	5.37753570999
CEP110loss	POU5F1loss	0.00815724743036	4.80884849162
KMT2Dloss	FAM123Bloss	0.0156398969439	4.15793013315
CYTSBloss	BCRloss	0.0271110340428	3.60781447371
MPLloss	RUNDC2Aloss	0.0332907413	3.4024759597
FANCFloss	HLA-Aloss	0.00951612873411	4.65476715846
RAD51Bloss	MYST4loss	0.012435792847	4.38717644445
KIF5Bloss	CYTSBloss	0.0119765809101	4.42480212685
MYST4loss	PICALMloss	0.0448880916465	3.10358273887
CEP110loss	FLI1loss	0.00229737831639	6.07598666862
CLTCL1loss	FAM22Aloss	0.0414738188271	3.18269292246
MYST4loss	LCP1loss	0.048613724135	3.02384939833
CEP110loss	HIST1H4Iloss	0.0072720134174	4.92372207703
FOXO3loss	MLL3loss	0.0214182816071	3.84351044094
MLL3loss	ZNF331loss	0.00692226298305	4.97301254214
MLL3loss	PPP2R1Aloss	0.032396581146	3.42970238194
MLL2loss	DDIT3loss	0.00230153655868	6.07417831012
SRSF2loss	MYST4loss	0.00613654767231	5.09349296331
MLL3loss	ETV5loss	0.0017516665313	6.3471876406
MLLloss	KMT2Aloss	0.0488279166556	3.01945306707
MLL3loss	BCL3loss	0.00688056952382	4.97905385084
ELF4loss	CYTSBloss	0.0488123654146	3.01977160858
NKX2-1loss	RB1loss	0.0416406828256	3.17867763706
RUNDC2Aloss	ARHGEF12loss	0.049606152422	3.00364041218
CEP110loss	MYBloss	0.0226847537184	3.78606222251
KAT6Bloss	MYST4loss	0.000429149382259	7.75370548925
HLA-Aloss	CBFA2T3loss	0.0327976261592	3.41739913941
SS18loss	MLLloss	0.0165277050049	4.10271721497
AMER1loss	CYTSBloss	0.00710273391543	4.94727551054
MLL3loss	MALAT1loss	0.020293508137	3.89745424029
MLL3loss	KMT2Aloss	0.00373812485444	5.5891711691
FOXO1loss	CYTSBloss	0.0375716375109	3.28150583475
NKX2-1loss	NT5C2loss	0.0492981602834	3.0098685154
MSI2loss	MYST4loss	0.0308436990741	3.47882279344
MTCP1loss	CYTSBloss	0.00982476391862	4.62284915015
MLL2loss	WWTR1loss	0.0154309853613	4.17137775455
FAM22Aloss	BCRloss	0.0424437057217	3.15957665233
MLL3loss	SSX4loss	0.0166143892856	4.09748613466
ZBTB16loss	RUNDC2Aloss	0.0468991064118	3.05975665676
EWSR1loss	CYTSBloss	0.0209038292989	3.86782291675
MLL3loss	SDHAF2loss	0.0380294871413	3.26939344277
CHEK2loss	MYST4loss	0.0346375180853	3.36281784666
MLL2loss	TFRCloss	0.0293663102873	3.52790717029
MYST4loss	PDGFBloss	0.00675840890469	4.99696778576
CEP110loss	STAT3loss	0.0136025134239	4.29750069274
PDCD1LG2loss	MYST4loss	0.0116214804952	4.45490012645
CEP110loss	PAX5loss	0.0463592653911	3.07133410639
MYST4loss	MYCLloss	0.00867865256537	4.74688899676
CCDC6loss	MYST4loss	0.0317251719578	3.45064484514
MYST4loss	CCND2loss	0.0383414690191	3.26122322652
TBL1XR1loss	MLL3loss	0.000993867931427	6.9139062259
MDS2loss	FAM123Bloss	0.0345082182384	3.3665577735
STAT6loss	CYTSBloss	0.0359224288997	3.32639341813
FOXO3loss	FAM123Bloss	0.0166187509386	4.09722364649
MLLT10loss	CYTSBloss	0.0410177125912	3.19375129115
BCL9loss	MAFloss	0.0015435539926	6.473667734
KMT2Aloss	CYTSBloss	0.0429493766248	3.14773314463
MDS2loss	MYST4loss	0.0357931252817	3.32999943525
CEP110loss	SRSF3loss	0.00806864876972	4.81976924942
CD274loss	MYST4loss	0.0118022923682	4.43946149789
MLL3loss	EZRloss	0.0198102186622	3.92155738036
CDKN2Aloss	CYTSBloss	0.0103265481757	4.573037207
FNBP1loss	CYTSBloss	0.0134414970401	4.30940856318
CEP110loss	ECT2Lloss	0.0208081597555	3.87241007326
CD79Bloss	MYST4loss	0.00998884986386	4.60628582169
ZCCHC8loss	CYTSBloss	0.0172655695778	4.05904095837
CEP110loss	GATA1loss	0.0413953768981	3.18458607351
BMPR1Aloss	CYTSBloss	0.0449444864119	3.10232718606
MLL3loss	SDHCloss	0.0322226884113	3.4350844655
MLL2loss	MALAT1loss	0.0127901325879	4.35908129691
MLL3loss	PRDM1loss	0.0154786432076	4.16829406275
MLL3loss	SSX2loss	0.0165171535542	4.10335582875
TFE3loss	CYTSBloss	0.00447314663592	5.40966317262
CCDC6loss	CYTSBloss	0.0267272569818	3.62207137356
MLL3loss	VHLloss	0.00666975932034	5.01017150361
TAF15loss	CYTSBloss	0.00650877936889	5.03460334128
SMARCE1loss	CYTSBloss	0.00941142810737	4.66583057204
MYST4loss	LHFPloss	0.0140977246177	4.26174186925
KLF6loss	MYST4loss	0.0251512979686	3.68284577468
CEP110loss	FANCEloss	0.00684610057336	4.98407604816
CDX2loss	MLLloss	0.0331957233415	3.40533422637
MLL3loss	NUTM2Aloss	0.0225755759175	3.79088666871
TTLloss	HLA-Aloss	0.00263747056235	5.93793494144
